version,id,specialty,naics_modifier,eo_minimum_premium
v2.0.101,273,Dentist: Non-Specialist - Surgery,1.088999986648560,5000.00
v2.0.101,274,Dentist: Specialist - Non-Surgery,0.837000012397766,5000.00
v2.0.101,275,Dentist: Specialist - Surgery,1.088999986648560,5000.00
v2.0.101,276,Dialysis,0.837999999523163,3500.00
v2.0.101,277,Health Screening,0.754000008106232,1500.00
v2.0.101,278,Wellness Counseling,0.483999997377396,1500.00
v2.0.101,279,Healthcare Staffing: Correctional Facility - Skilled,3.063999891281128,25000.00
v2.0.101,280,Healthcare Staffing: Hospital - ICU,2.845000028610230,5000.00
v2.0.101,281,Healthcare Staffing: Hospital - Non-ICU,2.188999891281128,5000.00
v2.0.101,282,Healthcare Staffing: Nursing Home / ALF,2.625999927520752,5000.00
v2.0.101,283,Healthcare Staffing: Other Healthcare,2.188999891281128,5000.00
v2.0.101,284,Home Healthcare: Skilled - Hospice (outpatient),0.578000009059906,1000.00
v2.0.101,285,Home Healthcare: Skilled - non-pediatrics,0.771000027656555,3500.00
v2.0.101,286,Home Healthcare: Skilled - pediatrics,1.253000020980835,3500.00
v2.0.101,287,Home Healthcare: Unskilled,0.660000026226044,1000.00
v2.0.101,288,Home Healthcare: Developmentally Disabled,1.062999963760376,2500.00
v2.0.101,289,Home Healthcare: Remote Patient Monitoring,0.703999996185303,3500.00
v2.0.101,290,Drug / Alcohol Testing - Other,0.619000017642975,2000.00
v2.0.101,291,Drug / Alcohol Testing - Substance Abuse Testing,0.834999978542328,2000.00
v2.0.101,292,Medical Imaging: Inpatient (Hospital),0.700999975204468,1500.00
v2.0.101,293,Medical Imaging: Mobile,0.630999982357025,1500.00
v2.0.101,294,Medical Imaging: Outpatient,0.630999982357025,1500.00
v2.0.101,295,Phlebotomy,0.555999994277954,850.00
v2.0.101,296,Testing laboratory: Fertility,0.740999996662140,1500.00
v2.0.101,297,Testing laboratory: Genetics (non-diagnostic),0.493999987840652,1500.00
v2.0.101,298,Testing laboratory: Medical/diagnostic,0.740999996662140,1500.00
v2.0.101,299,Testing laboratory: Reference,0.555999994277954,1500.00
v2.0.101,300,Certified Nursing Assistant,0.308999985456467,1250.00
v2.0.101,301,Licensed Vocational Nurse,0.493999987840652,1250.00
v2.0.101,302,Nurse Practitioner,0.865000009536743,3500.00
v2.0.101,303,Physician Assistant,0.802999973297119,3500.00
v2.0.101,304,Registered Nurse,0.740999996662140,2000.00
v2.0.101,305,Transportation: Emergency Air,2.719000101089478,25000.00
v2.0.101,306,Transportation: Emergency Ground,2.470999956130981,5000.00
v2.0.101,307,Transportation: Non-Emergency Air,2.470999956130981,25000.00
v2.0.101,308,Transportation: Non-Emergency Ground,1.853999972343445,3000.00
v2.0.101,309,Transportation: Special Needs,2.099999904632568,5000.00
v2.0.101,310,Facility Dietician,1.333999991416931,5000.00
v2.0.101,311,Nutrition/ Dietician,0.407000005245209,1000.00
v2.0.101,312,Optometrists/opticians,0.987999975681305,1500.00
v2.0.101,313,Orthotic/prosthetic fitting,0.802999973297119,2000.00
v2.0.101,314,Pharmacy: Compounding,0.870999991893768,3000.00
v2.0.101,315,Pharmacy: Non-Compounding,0.437000006437302,1250.00
v2.0.101,316,Post Mortem Services,0.865000009536743,3000.00
v2.0.101,317,Adoption Agency,0.967999994754791,20000.00
v2.0.101,318,Food bank,0.483999997377396,1000.00
v2.0.101,319,Foster Care Agency,1.036999940872192,20000.00
v2.0.101,320,Homeless shelter,0.552999973297119,1000.00
v2.0.101,321,Social Services - High/Multi-Disciplinary,0.967999994754791,25000.00
v2.0.101,322,Social Services - Job Training,0.552999973297119,1000.00
v2.0.101,323,Social Services - Supervised Visitation,0.552999973297119,1000.00
v2.0.101,324,Surgery Centers: Highly Complex Services,1.332000017166138,12500.00
v2.0.101,325,Surgery Centers: Low Complexity Services,0.952000021934509,7500.00
v2.0.101,326,Surgery Centers: Moderately Complex Services,1.141999959945679,10000.00
v2.0.101,327,Applied Behavior Analysis (ABA),1.000000000000000,1500.00
v2.0.101,328,Durable Medical Equipment (DME),0.493999987840652,2000.00
v2.0.101,329,Facility Therapy,1.419000029563904,5000.00
v2.0.101,330,Hyperbaric Oxygen Therapy (HBOT),0.617999970912933,2000.00
v2.0.101,331,Occupational Therapy,0.555999994277954,1500.00
v2.0.101,332,Physical Therapy,0.679000020027161,1500.00
v2.0.101,333,Respiratory Therapy,0.493999987840652,1500.00
v2.0.101,334,Speech Therapy,0.432000011205673,1500.00
v2.0.101,335,CPR/ First Aid Training,0.308999985456467,850.00
v2.0.101,336,Medical Arts School: Chiropractor/Pharmacy/Mental Health,0.555999994277954,1500.00
v2.0.101,337,Medical Arts School: Dental,0.617999970912933,1000.00
v2.0.101,338,Medical Arts School: First Response,0.370999991893768,1000.00
v2.0.101,339,Medical Arts School: Nurses,0.617999970912933,1500.00
