version,id,percent_of_occ_limit,type,factor
v2.0.101,395,50.00,Billing Errors Coverage,7.21
v2.0.101,396,50.00,Class Action Sublimit,-12.83
v2.0.101,397,50.00,Crisis Management,5.01
v2.0.101,398,50.00,Defense Only TCPA,12.98
v2.0.101,399,50.00,Defense Outside Limits,13.21
v2.0.101,400,50.00,Evacuation Expenses,5.01
v2.0.101,401,50.00,Faulty Workmanship,35.36
v2.0.101,402,50.00,Games of Chance / Over-Redemptio,7.21
v2.0.101,403,50.00,HIPAA Violations,2.88
v2.0.101,404,50.00,Open House Claim Sublimit,8.59
v2.0.101,405,50.00,Rectification Expenses,5.01
v2.0.101,406,50.00,Protective Indemnity,1.44
v2.0.101,407,50.00,Mold,5.01
v2.0.101,408,50.00,Pollutants in Transit,1.44
v2.0.101,409,50.00,Non-Owned Disposal Site,1.44
v2.0.101,410,50.00,Bodily injury / property damage,17.34
v2.0.101,411,50.00,Antitrust sublimit,2.88
v2.0.101,412,50.00,Failure to disclose pollutants,2.88
v2.0.101,413,50.00,FCRA defense only sublimit,12.98
v2.0.101,414,50.00,Pollution liability,8.26
v2.0.101,415,50.00,Technology Coverage Extensio,8.59
v2.0.101,416,50.00,Bodily Inury (Emotional Distress),8.26
v2.0.101,417,50.00,Network security & privacy,5.01
v2.0.101,418,50.00,Defamation Exclusion and Sublimit,-1.29
v2.0.101,419,50.00,InvasionPrivacyExclusionSublimit,-1.29
v2.0.101,420,50.00,Media activities,9.31
v2.0.101,421,55.00,Bodily Injury,16.95
v2.0.101,422,55.00,Property Damage,6.78
v2.0.101,423,55.00,Breach of Contract,6.78
v2.0.101,424,55.00,Personal & Advertising Injury,13.56
v2.0.101,425,55.00,Intellectual Property Infringement,6.78
v2.0.101,426,55.00,Third Party Discriminatio,6.78
v2.0.101,427,55.00,Contractors Pollution (Claims Made),8.77
v2.0.101,428,55.00,Contractors Pollution (Occ),10.52
v2.0.101,429,55.00,Sexual Abuse & Misconduct,16.82
v2.0.101,430,55.00,Billing Errors Coverage,7.30
v2.0.101,431,55.00,Class Action Sublimit,-12.36
v2.0.101,432,55.00,Crisis Management,5.11
v2.0.101,433,55.00,Defense Only TCPA,13.15
v2.0.101,434,55.00,Defense Outside Limits,13.56
v2.0.101,435,55.00,Evacuation Expenses,5.11
v2.0.101,436,55.00,Faulty Workmanship,36.07
v2.0.101,437,55.00,Games of Chance / Over-Redemptio,7.30
v2.0.101,438,55.00,HIPAA Violations,2.92
v2.0.101,439,55.00,Open House Claim Sublimit,8.77
v2.0.101,440,55.00,Rectification Expenses,5.11
v2.0.101,441,55.00,Protective Indemnity,1.46
v2.0.101,442,55.00,Mold,5.11
v2.0.101,443,55.00,Pollutants in Transit,1.46
v2.0.101,444,55.00,Non-Owned Disposal Site,1.46
v2.0.101,445,55.00,Bodily injury / property damage,17.79
v2.0.101,446,55.00,Antitrust sublimit,2.92
v2.0.101,447,55.00,Failure to disclose pollutants,2.92
v2.0.101,448,55.00,FCRA defense only sublimit,13.15
v2.0.101,449,55.00,Pollution liability,8.47
v2.0.101,450,55.00,Technology Coverage Extensio,8.77
v2.0.101,451,55.00,Bodily Inury (Emotional Distress),8.47
v2.0.101,452,55.00,Network security & privacy,5.11
v2.0.101,453,55.00,Defamation Exclusion and Sublimit,-1.12
v2.0.101,454,55.00,InvasionPrivacyExclusionSublimit,-1.12
v2.0.101,455,55.00,Media activities,9.50
v2.0.101,456,60.00,Bodily Injury,17.34
v2.0.101,457,60.00,Property Damage,6.94
v2.0.101,458,60.00,Breach of Contract,6.94
v2.0.101,459,60.00,Personal & Advertising Injury,13.87
v2.0.101,460,60.00,Intellectual Property Infringement,6.94
v2.0.101,461,60.00,Third Party Discriminatio,6.94
v2.0.101,462,60.00,Contractors Pollution (Claims Made),8.91
v2.0.101,463,60.00,Contractors Pollution (Occ),10.69
v2.0.101,464,60.00,Sexual Abuse & Misconduct,17.26
v2.0.101,465,60.00,Billing Errors Coverage,7.38
v2.0.101,466,60.00,Class Action Sublimit,-11.85
v2.0.101,467,60.00,Crisis Management,5.20
v2.0.101,468,60.00,Defense Only TCPA,13.29
v2.0.101,469,60.00,Defense Outside Limits,13.87
v2.0.101,470,60.00,Evacuation Expenses,5.20
v2.0.101,471,60.00,Faulty Workmanship,36.66
v2.0.101,472,60.00,Games of Chance / Over-Redemptio,7.38
v2.0.101,473,60.00,HIPAA Violations,2.95
v2.0.101,474,60.00,Open House Claim Sublimit,8.91
v2.0.101,475,60.00,Rectification Expenses,5.20
v2.0.101,476,60.00,Protective Indemnity,1.48
v2.0.101,477,60.00,Mold,5.20
v2.0.101,478,60.00,Pollutants in Transit,1.48
v2.0.101,479,60.00,Non-Owned Disposal Site,1.48
v2.0.101,480,60.00,Bodily injury / property damage,18.21
v2.0.101,481,60.00,Antitrust sublimit,2.95
v2.0.101,482,60.00,Failure to disclose pollutants,2.95
v2.0.101,483,60.00,FCRA defense only sublimit,13.29
v2.0.101,484,60.00,Pollution liability,8.67
v2.0.101,485,60.00,Technology Coverage Extensio,8.91
v2.0.101,486,60.00,Bodily Inury (Emotional Distress),8.67
v2.0.101,487,60.00,Network security & privacy,5.20
v2.0.101,488,60.00,Defamation Exclusion and Sublimit,-0.96
v2.0.101,489,60.00,InvasionPrivacyExclusionSublimit,-0.96
v2.0.101,490,60.00,Media activities,9.65
v2.0.101,491,65.00,Bodily Injury,17.66
v2.0.101,492,65.00,Property Damage,7.06
v2.0.101,493,65.00,Breach of Contract,7.06
v2.0.101,494,65.00,Personal & Advertising Injury,14.13
v2.0.101,495,65.00,Intellectual Property Infringement,7.06
v2.0.101,496,65.00,Third Party Discriminatio,7.06
v2.0.101,497,65.00,Contractors Pollution (Claims Made),9.05
v2.0.101,498,65.00,Contractors Pollution (Occ),10.86
